Ticker,Shares,Price per Share,Total Value
MSFT,9,433.30999755859375,3899.7899780273438
NVDA,34,113.54000091552734,3860.3600311279297
TSM,22,172.27999877929688,3790.1599731445312
AAPL,19,198.50999450683594,3771.689895629883
GOOGL,9,163.22999572753906,1469.0699615478516
AMD,14,98.62000274658203,1380.6800384521484
TSLA,3,275.3500061035156,826.0500183105469
META,1,587.3099975585938,587.3099975585938
INTC,20,19.940000534057617,398.80001068115234
CASH,,,16.090084378811298
